,0
0,73.619943985293
1,64.6182937516605
2,69.44288415986696
3,64.3941056447774
4,62.29113800839333
5,67.19559753687838
6,60.04272401568584
7,76.5720601227091
8,60.22616648805967
9,73.44517775007193
10,69.48889425894565
11,56.598456125393675
12,71.01723430009022
13,80.47559639031563
14,60.335036647215965
15,83.82308647788412
16,72.37348139729582
17,61.298332308951515
18,67.62127381909765
19,62.9142549117899
20,76.8749774957561
21,66.61303494888661
22,67.76774313044584
23,65.56362902939837
24,64.83062238944612
25,69.77913324193138
26,67.29140152788405
27,64.48443272118479
28,65.91891188877246
29,68.26384696958743
30,62.0440997920028
31,59.30573742531658
32,64.28600449616553
33,64.39857294619618
34,75.50116954220732
35,61.06133660732489
36,66.98647980797013
37,61.67897551902446
38,68.80332243956512
39,69.91997655599656
40,69.64229615736942
41,59.991844859434764
42,67.49953304253027
43,73.21200815564151
44,62.974073483808354
45,61.44515073959149
46,67.44139960162842
47,78.29263080005933
48,68.69365811811747
49,59.973900948069264
50,66.76840447670533
51,81.05013642566442
52,82.26582080267991
53,52.05479094602158
54,56.91349167961858
55,69.20590100852102
56,70.84535005786262
57,58.99113396472464
58,65.77436708490433
59,65.17379898924551
60,60.99858591799374
61,67.82306301168676
62,68.58037854777574
63,79.40444851152051
64,63.31276308221969
65,61.6391488632039
66,67.25713307743104
67,58.74132965814247
68,61.357281527356044
69,62.10787184584188
70,76.56074637120584
71,65.17744678284895
72,59.243191298359754
73,73.16034135953231
74,61.23152457341226
75,66.65244357967076
76,64.51615270555745
77,65.72556937823869
78,68.27623610060732
79,70.07029756530238
80,74.8454422218583
81,64.17736128434808
82,65.89606120871952
83,67.24759437421
84,66.444889425704
85,72.19683616313989
86,61.73843983411329
87,72.57824832169098
88,58.711971610231025
89,63.692122560326354
90,64.91534918813181
91,69.76986486048247
92,63.30064271932838
93,64.72369392374165
94,83.88929442295694
95,72.79226684515183
96,64.39581187526613
97,70.96894513169171
98,71.46896807355347
99,68.8767162586005
100,61.93548384742054
101,70.33335580702344
102,58.08460425584221
103,68.80335477850302
104,69.24523988074672
105,54.41739842296456
106,62.42961059056967
107,68.98555964649375
108,53.9033273341049
109,63.79758412248003
110,63.8487725708612
111,63.68172459377524
112,66.74901189082556
113,57.50710804586561
114,74.44773955061657
115,74.24644796053225
116,66.5071203863543
117,61.32305807727809
118,67.33451251969838
119,62.50297452776296
120,62.237002067229234
121,66.73568058979993
122,64.43929410649562
123,61.82085562637363
124,66.84583094732201
125,73.11489196861454
126,51.390048954662554
127,66.28423476543446
128,69.93893532393166
129,67.72023984232645
130,63.706910561262234
131,61.85160390101838
132,69.90666176643624
133,66.10398786824734
134,62.51416433300999
135,64.73940723688361
136,64.34466516335686
137,59.94215691692747
138,70.31148765072321
139,70.26169367981379
140,69.63815837082302
141,73.96180224614112
142,60.25976159031356
143,64.2902757045718
144,68.33816290382516
145,63.808375244034195
146,83.69261899951687
147,63.203199425122875
148,59.4849445062238
149,61.66463955729644
150,70.93777833509202
151,71.46317919554072
152,64.67099501421384
153,56.5248652116142
154,63.15970059787655
155,67.85112085741953
156,62.902996343207846
157,81.95709024006757
158,74.38732407960416
159,61.19654320717718
160,68.46910913132942
161,78.78732562865508
162,66.68435369322418
163,69.9754961827867
164,54.719684960163114
165,63.87273164860446
166,65.51420218073515
167,64.29721918763427
168,63.8852936322844
169,55.788612661042485
170,66.99322508554822
171,61.65937985011624
172,68.33491624289935
